rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00001457,318,33,116,54,21,23,1,47,23
N00001458,376,44,92,55,20,28,3,112,22
N00001459,471,72,122,81,24,25,8,114,25
N00001460,599,87,131,89,30,56,10,165,31
N00001480,477,18,111,113,43,42,8,108,34
N00001481,229,7,37,61,44,20,6,36,18
N00001482,307,20,70,74,34,34,3,57,15
N00001483,254,27,48,40,25,28,13,51,22
N00001484,213,17,54,33,12,18,3,43,33
N00001485,248,28,39,34,31,23,4,64,25
N00001486,358,18,81,68,54,36,6,82,13
N00001487,298,15,66,89,45,15,5,58,5
N00001488,277,18,74,54,27,31,4,49,20
N00001489,293,11,71,82,41,12,3,61,12
N00001490,196,12,53,39,21,19,4,37,11
N00001491,250,12,60,48,18,31,2,53,26
N00001492,226,7,55,58,19,7,1,44,35
N00001493,260,17,55,50,16,33,2,62,25
N00001494,198,26,52,34,3,30,1,40,12
N00001495,288,22,59,46,30,29,12,67,23
N00001496,266,21,63,32,20,31,4,71,24
N00001497,236,30,63,33,12,24,2,45,27
N00001498,460,67,112,60,15,39,7,99,61
N00001499,335,28,96,48,8,24,2,92,37
N00001500,214,27,38,28,8,9,6,63,35
N00001501,497,29,140,96,28,35,9,89,71
N00001502,409,40,118,73,18,47,3,63,47
N00001503,204,7,79,38,11,12,2,31,24
N00001504,272,13,102,68,10,14,0,37,28
N00001505,473,93,95,67,12,27,6,111,62
N00001506,239,19,69,41,16,16,4,42,32
N00001507,254,1,67,52,13,34,3,51,33
N00001508,466,55,71,75,8,58,7,103,89
N00001509,385,41,123,88,17,16,5,59,36
N00001510,215,19,46,41,9,15,3,53,29
N00001511,638,103,166,95,40,56,2,106,70
N00001512,294,39,49,24,9,20,2,99,52
N00001513,236,22,63,12,21,17,2,56,43
N00001514,249,43,58,54,7,13,3,49,22
N00001604,276,36,63,44,13,21,5,80,14
N00001605,283,38,71,56,21,17,6,51,23
N00001606,197,36,52,23,8,12,2,50,14
N00001607,262,35,65,37,11,12,1,71,30
N00001608,238,40,64,31,17,12,5,55,14
N00001609,243,33,53,32,13,11,15,55,31
N00001610,220,35,39,19,4,15,15,62,31
N00001611,292,33,105,30,9,30,3,61,21
N00001612,295,21,95,69,9,19,1,57,24
N00001613,691,86,131,157,26,57,21,143,70
N00001614,245,37,59,39,12,11,6,55,26
N00001615,318,74,72,31,12,24,6,73,26
N00001616,299,33,65,56,17,20,8,78,22
N00001617,258,80,48,26,7,23,10,49,15
N00001618,236,41,52,36,7,18,2,55,25
N00001619,278,16,79,54,18,22,12,47,30
