health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00001513,236,106,68,44,17,1
N00001514,249,132,70,34,9,4
N00001604,276,101,111,45,15,4
N00001605,283,104,104,47,22,6
N00001606,197,85,69,32,11,0
N00001607,262,91,102,47,19,3
N00001608,238,108,72,41,11,6
N00001609,243,95,96,33,14,5
N00001610,220,111,70,27,10,2
N00001611,292,102,88,69,20,13
N00001612,295,113,102,59,16,5
N00001613,691,291,216,129,38,17
N00001614,245,100,87,39,18,1
N00001615,318,116,120,57,19,6
N00001616,299,115,102,55,19,8
N00001617,258,109,115,22,12,0
N00001618,236,84,84,52,13,3
N00001619,278,86,94,70,20,8
N00001620,333,146,116,45,21,5
N00001621,241,88,86,52,12,3
N00001622,240,95,98,34,9,4
N00001750,256,129,76,32,16,3
N00001751,318,165,93,43,15,2
N00001752,299,117,115,59,6,2
N00001753,321,149,100,55,12,5
N00001754,356,183,124,40,9,0
N00001755,380,231,102,43,3,1
N00001756,326,144,121,54,7,0
N00001757,243,117,71,49,6,0
N00001758,272,102,107,54,9,0
N00001759,313,175,86,40,10,2
N00001760,1278,728,344,156,44,6
N00001761,503,289,91,70,49,4
N00001762,275,109,94,43,26,3
N00001763,1425,777,448,148,41,11
N00001764,234,70,80,62,21,1
N00001765,990,426,287,179,77,21
N00001766,256,96,91,52,16,1
N00001767,299,147,108,36,7,1
N00001768,296,176,86,25,8,1
N00001769,374,223,118,28,4,1
N00001770,333,230,89,12,2,0
N00001771,437,307,106,13,8,3
N00001772,278,137,94,41,5,1
N00001773,278,152,82,37,5,2
N00001774,281,159,82,35,4,1
N00001775,301,180,92,20,8,1
N00001776,294,166,96,20,8,4
N00001777,352,189,118,38,6,1
N00001778,307,159,119,25,4,0
N00001779,293,133,86,50,21,3
N00001780,621,354,192,53,21,1
N00001781,429,230,103,55,28,13
N00001782,354,191,129,29,5,0
N00001783,348,179,114,40,14,1
N00001784,257,119,75,49,13,1
N00001785,348,125,124,69,16,14
N00001786,319,118,95,84,20,2
N00001787,281,89,96,73,19,4
N00001788,335,159,93,58,21,4
N00001789,425,250,130,38,7,0
N00001790,359,145,127,74,11,2
N00001791,474,246,164,47,14,3
N00001792,345,208,103,24,8,2
N00001793,456,245,147,51,10,3
N00001794,915,355,291,206,49,14
N00001795,320,167,114,35,3,1
N00001796,336,196,91,34,12,3
N00001797,341,180,96,52,8,5
N00001798,423,248,132,32,6,5
N00001799,314,155,96,49,9,5
N00001800,343,178,108,46,9,2
N00001801,439,284,115,25,14,1
N00001802,331,199,104,18,8,2
N00001803,302,141,111,42,6,2
N00001804,353,185,113,40,13,2
N00001805,893,511,283,70,22,7
N00001806,324,129,113,60,20,2
N00001807,249,124,74,35,10,6
N00001808,249,95,82,48,17,7
N00001809,255,116,67,53,17,2
N00001810,231,78,77,59,15,2
N00001811,249,101,84,46,15,3
N00001812,340,109,114,74,32,11
N00001813,193,59,42,60,27,5
N00001814,644,252,235,112,39,6
N00001815,347,185,99,52,6,5
N00001816,486,199,156,98,28,5
N00001817,287,123,108,42,13,1
