health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00135220,116,76,22,14,2,2
S00135252,161,96,32,23,6,4
S00135253,67,41,14,8,2,2
S00135254,70,39,23,4,3,1
S00135291,108,71,30,5,2,0
S00135292,119,84,21,8,3,3
S00135293,67,31,20,10,5,1
S00135193,134,72,39,17,5,1
S00135196,92,43,32,14,3,0
S00135197,74,42,20,6,6,0
S00135198,64,31,21,10,1,1
S00135219,137,83,23,18,7,6
S00135294,101,53,30,15,3,0
S00135295,59,36,16,4,2,1
S00135188,128,65,38,20,4,1
S00135190,53,26,18,8,1,0
S00135203,168,90,50,18,6,4
S00135204,147,69,47,21,8,2
S00135208,71,47,15,4,4,1
S00135256,86,34,22,23,5,2
S00135177,69,28,26,7,5,3
S00135181,80,54,18,5,2,1
S00135182,111,64,32,10,5,0
S00135183,88,34,18,23,8,5
S00135184,79,37,19,17,4,2
S00135185,91,34,24,26,3,4
S00135186,58,30,18,10,0,0
S00135187,122,65,34,14,7,2
S00135189,69,27,29,9,3,1
S00135192,105,68,27,6,2,2
S00135176,109,66,29,11,2,1
S00135178,100,49,37,10,3,1
S00135179,120,65,29,19,6,1
S00135180,113,51,43,13,4,2
S00135216,123,73,33,13,2,2
S00135217,111,62,26,15,7,1
S00135218,173,66,69,27,8,3
S00135211,122,45,32,27,16,2
S00135212,90,34,32,16,6,2
S00135213,55,19,17,13,6,0
S00135214,149,79,43,22,5,0
S00135296,105,61,30,11,3,0
S00135297,104,59,29,8,5,3
S00135191,52,37,8,7,0,0
S00135200,180,73,51,41,10,5
S00135205,76,35,22,14,3,2
S00135206,56,20,25,8,2,1
S00135207,86,41,28,10,7,0
S00135209,101,49,32,17,1,2
S00135210,151,66,35,39,10,1
