ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00094328,197,197,0,0,0,0,0,0,0,0,0,197,0,0,0,0
S00094329,176,176,0,0,0,0,0,0,0,0,0,176,0,0,0,0
S00094752,84,83,0,1,0,0,0,0,0,0,0,83,0,0,1,0
S00094753,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
S00094308,133,133,0,0,0,0,0,0,0,0,0,133,0,0,0,0
S00094309,105,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0
S00094314,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00094323,147,145,2,0,0,0,0,0,0,0,0,147,0,0,0,0
S00094324,90,87,0,3,0,0,0,0,0,0,0,87,0,0,3,0
S00094327,111,110,0,0,0,0,0,0,0,1,0,110,1,0,0,0
S00094315,141,140,0,0,1,0,0,0,0,0,0,140,0,1,0,0
S00094316,114,112,0,1,0,0,0,0,0,1,0,112,1,0,1,0
S00094317,91,91,0,0,0,0,0,0,0,0,0,91,0,0,0,0
S00094318,103,102,0,0,0,0,0,0,0,0,1,102,0,0,0,1
S00094320,155,152,3,0,0,0,0,0,0,0,0,155,0,0,0,0
S00094321,90,88,0,2,0,0,0,0,0,0,0,88,0,0,2,0
S00094322,88,87,0,1,0,0,0,0,0,0,0,87,0,0,1,0
S00094325,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00094012,102,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
S00094285,120,117,0,1,0,0,0,0,0,2,0,117,2,0,1,0
S00094300,94,94,0,0,0,0,0,0,0,0,0,94,0,0,0,0
S00094319,82,80,0,2,0,0,0,0,0,0,0,80,0,0,2,0
S00094630,80,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0
S00094305,67,67,0,0,0,0,0,0,0,0,0,67,0,0,0,0
S00094306,58,56,1,0,0,0,0,0,0,0,1,57,0,0,0,1
S00094307,80,77,0,0,0,0,0,0,0,3,0,77,3,0,0,0
S00094311,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00094312,82,80,0,0,1,0,0,0,0,0,1,80,0,1,0,1
S00094313,77,76,0,1,0,0,0,0,0,0,0,76,0,0,1,0
S00094284,129,129,0,0,0,0,0,0,0,0,0,129,0,0,0,0
S00094302,84,79,0,0,2,0,1,0,0,2,0,79,2,3,0,0
S00094303,113,111,0,1,1,0,0,0,0,0,0,111,0,1,1,0
S00094304,86,84,1,0,0,0,0,0,0,1,0,85,1,0,0,0
S00094310,85,85,0,0,0,0,0,0,0,0,0,85,0,0,0,0
S00094628,65,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0
S00094287,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
S00094288,127,123,0,4,0,0,0,0,0,0,0,123,0,0,4,0
S00094289,88,88,0,0,0,0,0,0,0,0,0,88,0,0,0,0
S00094292,113,112,0,0,0,0,0,0,0,1,0,112,1,0,0,0
S00094629,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00094280,131,131,0,0,0,0,0,0,0,0,0,131,0,0,0,0
S00094281,132,132,0,0,0,0,0,0,0,0,0,132,0,0,0,0
S00094282,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
S00094283,93,91,0,2,0,0,0,0,0,0,0,91,0,0,2,0
S00094286,148,141,0,2,0,0,4,0,1,0,0,141,0,5,2,0
S00094290,111,106,0,0,0,0,0,5,0,0,0,106,0,5,0,0
S00094291,57,56,1,0,0,0,0,0,0,0,0,57,0,0,0,0
S00094270,98,97,0,0,0,0,0,0,0,0,1,97,0,0,0,1
S00094271,91,89,0,2,0,0,0,0,0,0,0,89,0,0,2,0
S00094273,64,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0
S00094274,69,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0
S00094275,86,84,0,0,1,0,0,0,0,1,0,84,1,1,0,0
S00094276,66,66,0,0,0,0,0,0,0,0,0,66,0,0,0,0
S00094277,68,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0
S00094278,111,110,0,0,0,1,0,0,0,0,0,110,0,1,0,0
S00094627,87,84,0,3,0,0,0,0,0,0,0,84,0,0,3,0
S00094265,127,127,0,0,0,0,0,0,0,0,0,127,0,0,0,0
S00094267,105,102,1,1,0,0,0,0,0,1,0,103,1,0,1,0
S00094268,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00094269,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
S00094279,158,158,0,0,0,0,0,0,0,0,0,158,0,0,0,0
S00094626,117,116,0,0,0,0,0,0,1,0,0,116,0,1,0,0
S00094011,149,147,0,0,0,0,0,0,0,2,0,147,2,0,0,0
S00094262,246,240,0,2,2,0,0,0,2,0,0,240,0,4,2,0
S00094263,110,109,0,1,0,0,0,0,0,0,0,109,0,0,1,0
S00094264,82,78,0,3,0,1,0,0,0,0,0,78,0,1,3,0
S00094266,155,155,0,0,0,0,0,0,0,0,0,155,0,0,0,0
S00094272,82,73,0,1,1,0,5,1,1,0,0,73,0,8,1,0
S00094625,77,77,0,0,0,0,0,0,0,0,0,77,0,0,0,0
S00135056,136,136,0,0,0,0,0,0,0,0,0,136,0,0,0,0
S00135057,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00135062,157,157,0,0,0,0,0,0,0,0,0,157,0,0,0,0
S00135257,90,87,0,0,0,3,0,0,0,0,0,87,0,3,0,0
S00135263,143,143,0,0,0,0,0,0,0,0,0,143,0,0,0,0
S00135054,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00135055,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00135058,137,130,5,1,0,0,0,0,0,1,0,135,1,0,1,0
S00135059,120,120,0,0,0,0,0,0,0,0,0,120,0,0,0,0
S00135060,108,108,0,0,0,0,0,0,0,0,0,108,0,0,0,0
S00135061,58,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0
S00135063,143,143,0,0,0,0,0,0,0,0,0,143,0,0,0,0
S00135064,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00135065,111,110,0,0,0,1,0,0,0,0,0,110,0,1,0,0
S00135066,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00135067,87,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0
S00135068,54,54,0,0,0,0,0,0,0,0,0,54,0,0,0,0
S00135070,147,146,0,1,0,0,0,0,0,0,0,146,0,0,1,0
S00135255,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00135266,160,160,0,0,0,0,0,0,0,0,0,160,0,0,0,0
S00135267,69,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0
S00135268,73,73,0,0,0,0,0,0,0,0,0,73,0,0,0,0
S00135069,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00135071,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00135072,93,92,0,1,0,0,0,0,0,0,0,92,0,0,1,0
S00135073,69,65,0,0,0,0,0,0,4,0,0,65,0,4,0,0
S00135074,66,66,0,0,0,0,0,0,0,0,0,66,0,0,0,0
S00135075,92,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
S00135076,127,126,0,1,0,0,0,0,0,0,0,126,0,0,1,0
S00135077,103,100,0,2,1,0,0,0,0,0,0,100,0,1,2,0
S00135153,70,67,0,3,0,0,0,0,0,0,0,67,0,0,3,0
S00135154,144,143,0,0,0,0,0,0,1,0,0,143,0,1,0,0
S00135155,83,83,0,0,0,0,0,0,0,0,0,83,0,0,0,0
S00135156,89,88,0,0,0,0,0,0,0,1,0,88,1,0,0,0
S00135157,133,133,0,0,0,0,0,0,0,0,0,133,0,0,0,0
S00135158,118,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0
S00135159,51,51,0,0,0,0,0,0,0,0,0,51,0,0,0,0
S00135160,126,125,0,1,0,0,0,0,0,0,0,125,0,0,1,0
S00135161,134,133,0,0,0,0,0,0,1,0,0,133,0,1,0,0
S00135248,159,156,0,0,0,2,0,0,1,0,0,156,0,3,0,0
S00135287,55,53,0,1,0,0,0,0,0,1,0,53,1,0,1,0
S00135288,168,168,0,0,0,0,0,0,0,0,0,168,0,0,0,0
S00135082,144,144,0,0,0,0,0,0,0,0,0,144,0,0,0,0
S00135083,122,122,0,0,0,0,0,0,0,0,0,122,0,0,0,0
S00135084,77,76,1,0,0,0,0,0,0,0,0,77,0,0,0,0
S00135085,105,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0
S00135260,74,73,0,0,0,0,0,0,1,0,0,73,0,1,0,0
S00135302,128,123,0,3,0,0,0,0,0,1,1,123,1,0,3,1
S00135303,81,80,0,1,0,0,0,0,0,0,0,80,0,0,1,0
S00135078,81,81,0,0,0,0,0,0,0,0,0,81,0,0,0,0
S00135079,88,88,0,0,0,0,0,0,0,0,0,88,0,0,0,0
S00135080,109,108,0,1,0,0,0,0,0,0,0,108,0,0,1,0
S00135081,66,66,0,0,0,0,0,0,0,0,0,66,0,0,0,0
S00135086,78,76,0,1,0,0,0,0,0,1,0,76,1,0,1,0
S00135087,108,108,0,0,0,0,0,0,0,0,0,108,0,0,0,0
S00135088,56,54,0,0,0,0,0,0,0,1,1,54,1,0,0,1
S00135089,72,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0
S00135090,89,88,0,0,0,0,0,0,1,0,0,88,0,1,0,0
S00135261,60,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0
S00135304,81,81,0,0,0,0,0,0,0,0,0,81,0,0,0,0
S00135094,72,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0
S00135095,59,58,1,0,0,0,0,0,0,0,0,59,0,0,0,0
S00135096,75,75,0,0,0,0,0,0,0,0,0,75,0,0,0,0
S00135097,62,62,0,0,0,0,0,0,0,0,0,62,0,0,0,0
S00135098,85,77,0,6,2,0,0,0,0,0,0,77,0,2,6,0
S00135099,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00135100,181,181,0,0,0,0,0,0,0,0,0,181,0,0,0,0
S00135262,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00135305,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00135306,87,86,1,0,0,0,0,0,0,0,0,87,0,0,0,0
S00135091,115,113,0,1,0,0,0,0,1,0,0,113,0,1,1,0
S00135092,111,107,0,0,0,4,0,0,0,0,0,107,0,4,0,0
S00135093,94,93,0,1,0,0,0,0,0,0,0,93,0,0,1,0
S00135101,103,103,0,0,0,0,0,0,0,0,0,103,0,0,0,0
S00135102,102,101,0,0,0,0,0,1,0,0,0,101,0,1,0,0
S00135264,67,67,0,0,0,0,0,0,0,0,0,67,0,0,0,0
S00135269,105,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0
S00135270,71,71,0,0,0,0,0,0,0,0,0,71,0,0,0,0
S00135271,122,122,0,0,0,0,0,0,0,0,0,122,0,0,0,0
S00135272,90,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0
S00135105,50,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0
S00135106,69,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0
