rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00110625,0.99999999999827105,77,22,7,4,1,0,0,0,0,0,36,7
S00110626,0.99999999999886202,65,21,8,0,0,0,0,0,0,0,31,5
S00110627,0.99999999999963496,98,47,5,4,0,0,0,0,0,0,38,4
S00110628,0.99999999999737699,154,38,10,7,0,0,0,1,0,2,90,6
S00110629,1.00000000000195,77,30,11,0,0,0,0,0,0,0,34,2
S00110630,1.00000000000052,66,22,3,2,0,0,0,2,0,0,32,5
S00110631,1.0000000000047999,110,21,8,6,0,4,0,0,0,1,67,3
S00110632,0.99999999999904898,91,27,8,3,0,0,0,0,0,0,50,3
S00110633,0.99999999999802403,124,28,5,5,0,0,0,0,0,1,78,7
S00110634,0.999999999999442,122,15,7,1,0,0,0,0,0,1,85,13
S00110635,1.00000000000329,95,35,7,3,1,0,0,0,0,0,46,3
S00110636,1.0000000000023099,72,22,7,2,0,0,0,0,0,0,38,3
S00110637,1.0000000000004201,109,22,14,4,0,0,0,0,0,0,65,4
S00110638,1.0000000000009399,111,22,8,2,0,0,0,0,0,1,75,3
S00110639,0.99999999999982803,93,14,4,4,0,0,0,0,0,0,59,12
S00110640,1.00000000000033,94,33,2,9,2,0,0,0,0,1,47,0
S00110641,1.00000000000111,121,26,8,9,0,0,0,0,0,0,66,12
S00110642,1.00000000000247,113,27,5,2,1,0,0,0,0,0,71,7
S00110643,1.00000000000634,79,13,11,2,0,0,0,7,0,0,37,9
S00110644,0.99999999997512301,149,39,12,7,0,0,0,1,0,0,78,12
S00110645,1.00000000000551,122,30,12,6,0,0,0,0,0,0,67,7
S00110646,0.99999999966624598,130,38,10,7,0,0,0,8,0,0,63,4
S00110647,1.0000000000079801,138,33,4,3,0,0,0,0,1,0,83,14
S00110648,0.999999999999446,75,22,9,5,0,0,0,0,0,0,38,1
S00110649,1.00000000000413,111,40,8,3,0,0,0,0,0,0,47,13
S00110650,1.0000000000015801,92,23,7,6,0,0,0,3,0,0,46,7
S00110651,1.0000000000165199,120,38,9,6,1,0,0,0,0,0,61,5
S00110652,0.99999999999799705,83,26,11,13,0,0,0,0,0,0,26,7
S00110653,1.0000000000034499,83,22,6,1,1,0,0,0,0,1,46,6
S00110654,0.99999999999832501,173,38,15,6,0,0,0,0,0,0,109,5
S00110655,0.99999999997601696,146,47,16,5,0,0,0,5,0,0,64,9
S00110656,0.99999999994659805,92,30,11,6,0,0,0,0,0,1,36,8
S00110657,0.99999999999370004,123,29,16,6,0,0,0,0,0,2,68,2
S00110658,0.99999999999909095,104,46,6,1,0,0,0,0,0,0,49,2
S00110659,0.99999999999086397,106,46,12,3,0,0,0,0,0,1,42,2
S00110660,1.0000000000096601,135,33,12,8,1,0,0,0,0,0,72,9
