rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00003795,246,134,0,0,0,0,0,2,85,25
W00003796,439,218,0,1,0,1,0,0,198,21
W00003797,340,164,2,3,0,0,0,2,149,20
W00003798,303,181,1,0,0,14,4,0,86,17
W00003799,281,169,0,0,0,0,0,0,94,18
W00003800,352,227,2,2,2,0,0,0,102,17
W00003801,308,199,1,1,0,0,0,0,82,25
W00003802,287,164,0,3,0,1,0,0,108,11
W00003803,284,130,1,0,0,0,0,1,124,28
W00003804,269,175,0,0,0,0,0,0,74,20
W00003805,254,139,0,0,0,0,0,0,93,22
W00003806,308,118,2,0,0,5,0,0,155,28
W00003807,303,136,0,0,0,0,0,0,136,31
W00003808,263,98,0,0,0,0,0,4,146,15
W00003809,269,120,0,0,0,0,1,1,122,25
W00003811,335,230,0,0,0,0,0,1,69,35
W00003812,327,202,0,0,0,0,0,6,86,33
W00003813,289,225,0,1,0,0,0,2,42,19
W00003814,389,221,0,0,0,0,0,5,110,53
W00003815,494,286,4,0,0,1,0,10,145,48
W00003817,371,280,0,0,0,0,0,1,70,20
W00003818,338,222,2,0,0,4,0,3,90,17
W00003819,315,177,0,0,0,0,0,3,107,28
W00003820,285,194,0,0,0,0,0,0,69,22
W00003821,351,218,2,0,0,0,0,3,98,30
W00003823,277,162,0,0,0,0,2,0,103,10
W00003824,236,170,0,1,0,0,0,0,47,18
W00003825,332,216,1,0,0,0,0,3,99,13
W00003826,273,177,0,0,0,0,0,0,74,22
W00003827,272,156,0,0,0,0,0,0,98,18
W00003828,276,144,0,0,0,0,0,3,115,14
W00003829,237,164,0,0,0,1,0,2,57,13
