rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00001012,353,142,16,28,0,4,20,112,31
N00001013,242,125,9,14,1,6,7,39,41
N00001014,239,93,29,20,5,7,5,69,11
N00001015,416,162,45,27,9,24,15,89,45
N00001016,262,162,12,3,1,6,1,34,43
N00001017,323,213,6,7,1,6,4,48,38
N00001018,288,102,14,34,3,3,13,105,14
N00001019,205,136,6,1,3,3,0,33,23
N00001020,171,78,10,6,1,2,7,27,40
N00001021,239,104,25,5,4,5,12,44,40
N00001022,604,216,49,21,8,30,36,171,73
N00001023,220,103,12,3,0,5,7,49,41
N00001024,346,168,15,12,2,8,9,94,38
N00001025,297,128,29,16,3,17,14,56,34
N00001026,236,80,14,5,3,6,5,69,54
N00001027,395,253,7,8,1,5,8,67,46
N00001028,261,198,1,5,2,2,4,12,37
N00001029,699,476,11,11,3,7,23,66,102
N00001030,514,308,22,14,1,10,25,44,90
N00001031,372,238,8,18,1,9,3,41,54
N00001032,185,9,46,54,19,16,2,27,12
N00001033,129,0,45,30,5,10,1,18,20
N00001034,344,107,72,32,29,27,5,45,27
N00001035,284,33,79,65,20,17,3,37,30
N00001036,391,65,94,68,27,23,9,68,37
N00001037,368,276,17,11,5,9,4,37,9
N00001038,726,452,56,42,20,16,4,87,49
N00001039,387,255,25,15,10,4,5,45,28
N00001040,271,9,86,52,37,14,1,48,24
N00001041,190,5,72,41,23,11,5,21,12
N00001042,664,293,108,69,39,42,4,77,32
N00001043,206,1,72,56,27,11,0,14,25
N00001044,303,29,79,52,45,24,1,45,28
N00001045,274,27,90,43,53,17,2,32,10
N00001046,307,195,37,24,8,6,2,14,21
N00001047,314,92,72,55,18,12,2,45,18
N00001048,331,212,46,14,4,13,2,24,16
N00001049,330,31,123,57,26,24,1,49,19
N00001050,335,206,39,13,12,4,3,31,27
N00001051,371,267,11,24,5,3,7,33,21
N00001052,180,106,14,13,9,2,1,15,20
N00001053,355,267,31,6,2,5,4,27,13
N00001054,341,265,18,16,2,2,1,21,16
N00001055,350,259,14,19,5,8,3,31,11
N00001056,355,88,109,40,20,7,1,52,38
N00001057,326,40,103,51,45,18,4,29,36
N00001058,349,225,27,20,3,10,1,36,27
N00001059,320,188,41,25,10,7,6,30,13
N00001060,256,18,86,46,26,21,2,40,17
N00001079,829,546,25,5,3,7,11,101,131
N00001080,324,202,15,8,1,7,4,59,28
N00001081,412,243,31,24,4,11,3,63,33
N00001082,431,301,7,6,1,2,5,49,60
N00001083,436,328,4,12,0,2,10,49,31
N00001084,447,315,13,12,1,7,3,47,49
N00001085,1087,756,29,11,5,12,12,158,104
N00001086,336,235,7,11,8,12,4,53,6
N00001087,307,216,6,7,1,10,4,35,28
N00001088,305,230,10,12,0,2,7,32,12
N00001089,316,97,48,43,9,16,8,60,35
N00001090,222,2,48,59,25,27,9,26,26
N00001091,384,314,4,1,0,3,3,40,19
N00001092,398,320,5,2,2,1,4,12,52
N00001093,642,489,8,7,6,12,4,50,66
N00001094,239,187,5,0,0,1,0,14,32
N00001095,368,285,1,3,0,0,11,25,43
N00001096,397,314,1,8,3,2,2,38,29
N00001097,316,226,16,4,6,1,0,12,51
N00001098,308,248,1,7,5,3,1,20,23
N00001099,282,100,51,44,19,18,2,30,18
N00001100,292,233,0,6,7,7,0,16,23
N00001101,304,188,24,33,8,1,0,31,19
N00001102,569,36,167,177,39,42,1,55,52
N00001103,219,90,28,20,2,7,0,26,46
N00001104,303,182,24,30,15,5,0,18,29
N00001105,309,155,33,34,14,12,2,34,25
N00001106,283,249,1,0,4,0,0,6,23
N00001107,309,261,1,1,0,0,2,12,32
N00001108,217,183,0,0,0,0,2,4,28
N00001109,393,307,1,5,11,1,1,21,46
N00001110,345,254,3,2,2,0,2,12,70
N00001111,687,594,0,3,0,0,2,14,74
N00001112,319,234,2,1,1,0,3,15,63
N00001113,1384,1120,2,6,1,10,9,59,177
N00001114,319,244,0,0,1,1,5,11,57
N00001115,222,184,4,3,0,2,0,6,23
N00001116,497,374,0,3,0,11,3,14,92
