health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00096248,116,74,31,9,2,0
S00096249,99,67,28,3,1,0
S00096250,144,55,51,26,11,1
S00096251,182,95,49,32,6,0
S00096252,106,52,39,13,2,0
S00096253,179,88,56,22,11,2
S00096254,104,66,31,5,2,0
S00096255,204,123,56,20,3,2
S00096256,109,58,33,8,8,2
S00096257,100,62,27,9,1,1
S00096258,104,65,27,9,3,0
S00096259,164,88,48,19,7,2
S00096260,97,57,26,13,1,0
S00096261,61,30,19,10,2,0
S00096262,126,52,41,21,10,2
S00096268,142,91,37,12,1,1
S00096269,58,33,15,6,2,2
S00096580,93,44,29,13,7,0
S00096581,101,52,33,13,2,1
S00096694,157,48,44,40,15,10
S00100880,161,100,42,13,4,2
S00101566,201,133,44,16,5,3
S00101587,127,89,29,6,2,1
S00101731,153,98,35,17,2,1
S00101732,54,38,10,5,1,0
S00107648,87,61,18,6,2,0
S00107653,124,66,37,16,5,0
S00107673,121,77,32,10,2,0
S00107676,169,83,49,30,6,1
S00107677,112,59,35,13,4,1
S00108628,121,72,26,19,2,2
S00108956,108,56,38,11,2,1
S00108975,87,57,22,5,3,0
S00108976,156,113,28,11,4,0
S00108977,75,40,25,7,3,0
S00108978,167,86,61,16,3,1
S00108979,161,96,50,10,4,1
S00108980,122,75,30,13,4,0
S00108981,75,54,16,4,1,0
S00108982,182,111,49,16,4,2
S00108983,255,178,54,16,6,1
S00108984,163,105,50,6,1,1
S00108985,141,103,32,6,0,0
S00108986,137,88,41,6,1,1
S00108987,140,85,38,12,5,0
S00108988,95,48,29,12,6,0
S00108989,111,52,31,25,3,0
S00108990,84,24,35,17,6,2
S00108991,83,45,24,11,1,2
S00108992,50,31,10,5,3,1
S00108993,82,39,28,13,2,0
S00108994,117,71,33,9,2,2
S00108995,134,75,44,7,7,1
S00108996,112,67,26,14,4,1
S00108997,111,82,24,5,0,0
S00108998,91,52,23,9,7,0
S00108999,148,64,52,19,10,3
S00109000,110,32,49,22,6,1
S00109001,188,68,50,43,27,0
S00109002,145,84,43,16,1,1
S00109003,80,33,37,6,3,1
S00109004,120,61,36,19,3,1
S00109005,206,158,43,4,1,0
S00109006,55,32,21,1,1,0
S00109007,162,96,44,14,7,1
S00109008,97,52,30,7,4,4
S00109009,132,28,57,31,12,4
S00109010,67,37,19,9,2,0
S00109011,117,58,33,20,2,4
S00109012,189,81,45,38,14,11
S00109013,66,41,11,10,2,2
S00109014,52,29,16,5,2,0
S00109015,58,18,20,15,2,3
S00109016,164,103,45,11,4,1
S00109017,164,101,48,12,2,1
S00109018,124,87,25,9,2,1
S00109019,194,67,64,57,3,3
S00109020,188,125,54,4,3,2
S00109021,124,91,25,6,2,0
S00109022,153,103,37,12,1,0
S00109023,82,43,25,13,1,0
S00109024,97,51,37,7,1,1
S00109025,111,54,36,14,6,1
S00109026,76,35,26,11,1,3
S00109027,99,50,29,15,5,0
S00109028,156,79,45,24,5,3
S00109029,137,67,43,19,6,2
S00109030,118,50,47,16,4,1
S00109031,66,21,18,23,3,1
S00109032,146,67,48,25,6,0
S00109033,84,40,32,8,4,0
S00109034,122,61,44,12,3,2
S00109035,133,80,40,10,2,1
S00109036,177,121,36,16,4,0
S00109037,141,92,36,10,3,0
S00109038,153,88,44,17,4,0
S00109039,115,64,45,6,0,0
S00109040,131,81,29,16,5,0
S00109041,150,83,55,9,3,0
S00109042,140,56,49,19,14,2
S00109043,139,77,46,13,3,0
S00109044,99,59,29,8,3,0
S00109045,109,77,22,7,3,0
S00109046,147,71,57,16,3,0
S00109047,67,48,14,4,1,0
S00109048,72,42,27,3,0,0
S00109049,89,49,27,11,2,0
S00109050,63,38,16,5,2,2
S00109051,134,78,39,10,7,0
S00109052,90,60,21,8,1,0
S00109053,97,54,27,11,5,0
S00109054,136,77,44,13,2,0
S00109055,82,43,27,6,5,1
S00109056,79,46,21,8,4,0
S00109057,71,30,34,7,0,0
S00109058,141,64,52,23,2,0
S00109059,117,66,27,18,3,3
S00109060,149,59,58,19,7,6
S00109061,94,50,21,20,2,1
S00109062,110,53,31,20,5,1
S00109063,143,79,41,14,6,3
S00109064,97,50,32,12,3,0
S00109065,82,34,31,11,3,3
S00109066,97,55,27,10,4,1
S00109067,149,86,41,18,4,0
