ethn..geo_code,ethn..total_persons,ethn..ethnic_group_white,ethn..ethnic_group_chinese,ethn..ethnic_group_irish_traveller,ethn..ethnic_group_indian,ethn..ethnic_group_pakistani,ethn..ethnic_group_bangladeshi,ethn..ethnic_group_other_asian,ethn..ethnic_group_black_caribbean,ethn..ethnic_group_black_african,ethn..ethnic_group_black_other,ethn..ethnic_group_mixed,ethn..ethnic_group_other,ethn..white_or_white_british_or_white_irish,ethn..black_or_black_british_or_black_irish,ethn..asian_or_asian_british_or_asian_irish,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
N00000056,283,283,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0
N00000057,279,275,2,0,1,0,0,0,0,0,1,0,0,275,1,3,0,0
N00000058,266,246,5,0,12,0,0,0,0,0,0,3,0,246,0,17,3,0
N00000059,226,218,7,0,0,0,0,0,0,0,0,1,0,218,0,7,1,0
N00000060,394,377,0,0,10,6,0,0,0,0,0,1,0,377,0,16,1,0
N00000061,273,254,5,0,10,0,0,0,0,0,0,4,0,254,0,15,4,0
N00000062,351,342,3,0,0,4,0,0,0,0,0,1,1,342,0,7,1,1
N00000063,431,405,16,0,4,0,0,2,0,0,0,4,0,405,0,22,4,0
N00000064,279,269,4,0,0,0,1,1,0,3,0,1,0,269,3,6,1,0
N00000065,389,376,3,0,6,0,0,0,0,0,0,4,0,376,0,9,4,0
N00000066,264,255,3,0,3,0,0,0,0,3,0,0,0,255,3,6,0,0
N00000067,316,312,0,0,0,0,0,0,0,1,1,2,0,312,2,0,2,0
N00000068,371,357,14,0,0,0,0,0,0,0,0,0,0,357,0,14,0,0
N00000069,334,333,1,0,0,0,0,0,0,0,0,0,0,333,0,1,0,0
N00000070,243,242,0,0,0,0,0,0,0,0,0,1,0,242,0,0,1,0
N00000071,283,278,3,0,0,0,0,0,0,1,0,1,0,278,1,3,1,0
N00000072,1753,1713,6,6,10,3,0,5,0,1,1,7,1,1719,2,24,7,1
N00000073,521,508,1,0,7,1,0,0,0,2,0,2,0,508,2,9,2,0
N00000074,1047,981,9,0,23,0,0,31,0,0,0,3,0,981,0,63,3,0
N00000075,410,406,0,0,0,1,0,0,0,0,0,1,2,406,0,1,1,2
N00000076,344,335,5,0,0,4,0,0,0,0,0,0,0,335,0,9,0,0
N00000077,275,272,1,0,0,0,0,0,0,0,0,1,1,272,0,1,1,1
N00000078,488,439,6,6,19,0,0,12,0,0,0,6,0,445,0,37,6,0
N00000079,564,562,0,0,0,0,0,0,0,0,0,2,0,562,0,0,2,0
N00000080,424,423,1,0,0,0,0,0,0,0,0,0,0,423,0,1,0,0
N00000081,339,338,1,0,0,0,0,0,0,0,0,0,0,338,0,1,0,0
N00000082,342,342,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0
N00000083,650,648,0,0,0,0,0,0,0,1,0,1,0,648,1,0,1,0
N00000084,456,455,0,0,0,0,0,0,0,0,0,1,0,455,0,0,1,0
N00000085,437,430,5,0,0,0,0,1,0,0,0,1,0,430,0,6,1,0
N00000086,395,392,2,0,0,0,0,0,0,0,0,1,0,392,0,2,1,0
N00000087,913,909,1,1,0,0,0,0,0,0,0,2,0,910,0,1,2,0
N00000088,216,211,0,0,1,0,0,0,1,0,0,3,0,211,1,1,3,0
N00000089,478,473,1,0,0,0,0,0,0,0,0,4,0,473,0,1,4,0
N00000090,392,389,0,1,0,0,0,0,0,1,0,1,0,390,1,0,1,0
N00000091,476,471,4,0,0,0,0,0,0,0,0,1,0,471,0,4,1,0
N00000092,504,503,0,0,1,0,0,0,0,0,0,0,0,503,0,1,0,0
N00000093,421,416,0,0,0,0,0,0,0,5,0,0,0,416,5,0,0,0
N00000094,492,489,0,0,3,0,0,0,0,0,0,0,0,489,0,3,0,0
N00000095,468,466,0,0,2,0,0,0,0,0,0,0,0,466,0,2,0,0
N00000096,464,464,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0
N00000097,850,827,5,0,12,0,0,0,1,4,0,1,0,827,5,17,1,0
N00000098,1192,1053,6,0,90,0,0,31,1,1,0,10,0,1053,2,127,10,0
N00000099,258,252,0,0,4,0,0,2,0,0,0,0,0,252,0,6,0,0
N00000100,341,326,3,0,6,0,0,3,1,0,0,2,0,326,1,12,2,0
N00000101,282,264,3,0,10,0,0,1,0,0,0,4,0,264,0,14,4,0
N00000102,318,301,0,0,13,0,0,1,0,1,0,2,0,301,1,14,2,0
