house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00000533,159,87,30,24,4,2,12,0
N00000534,169,15,13,59,57,7,16,2
N00000535,183,10,20,73,49,10,17,4
N00000536,148,8,19,67,36,3,14,1
N00000537,142,14,11,58,38,8,8,5
N00000538,148,18,13,56,43,3,13,2
N00000539,139,13,10,53,37,5,20,1
N00000540,123,19,8,65,18,3,10,0
N00000541,158,18,19,60,47,5,8,1
N00000542,130,46,9,41,14,9,10,1
N00000543,138,12,18,39,45,9,13,2
N00000544,128,27,24,32,16,15,11,3
N00000545,126,21,17,45,19,12,8,4
N00000546,120,13,20,38,16,15,15,3
N00000547,143,25,30,27,27,17,12,5
N00000548,114,14,21,33,20,8,15,3
N00000549,115,38,26,18,10,9,12,2
N00000550,180,26,32,44,45,15,16,2
N00000551,100,7,24,18,21,21,5,4
N00000552,101,12,14,23,23,10,13,6
N00000553,131,9,21,27,21,27,15,11
N00000554,103,3,31,14,20,22,12,1
N00000555,110,2,31,20,17,21,17,2
N00000556,115,5,20,17,21,28,15,9
N00000557,167,11,11,57,66,3,12,7
N00000558,148,17,14,56,45,1,6,9
N00000559,124,11,8,60,24,4,16,1
N00000560,146,13,12,50,46,6,16,3
N00000561,162,15,10,61,53,9,12,2
N00000562,143,15,26,50,38,10,2,2
N00000563,356,47,58,79,65,47,42,18
N00000564,138,22,28,35,19,6,21,7
N00000565,124,29,46,20,6,7,12,4
N00000566,123,16,26,34,20,11,12,4
N00000567,200,19,26,71,53,13,16,2
N00000568,130,7,13,43,44,13,8,2
N00000569,167,35,25,33,30,18,20,6
N00000570,129,12,17,48,40,7,2,3
N00000571,120,15,13,51,29,0,8,4
N00000572,200,12,19,84,57,13,11,4
N00000573,138,8,16,66,37,2,6,3
N00000574,149,8,14,57,50,8,9,3
N00000575,160,11,16,64,44,4,16,5
N00000576,131,7,33,31,34,13,12,1
N00000577,154,18,22,48,41,6,14,5
N00000578,243,18,26,66,75,23,28,7
N00000579,149,10,19,38,59,11,11,1
N00000580,177,19,17,70,43,7,15,6
N00000581,160,10,13,48,69,7,9,4
N00000582,142,13,12,59,36,5,11,6
N00000583,118,17,13,51,23,2,7,5
N00000584,157,13,15,65,49,2,10,3
N00000585,155,17,14,54,49,4,10,7
N00000586,154,10,16,59,46,4,14,5
N00000587,154,17,13,58,46,4,12,4
N00000588,139,6,21,48,41,13,9,1
N00000589,182,14,6,56,75,2,24,5
N00000590,137,12,15,49,41,2,12,6
N00000591,155,16,10,63,40,5,13,8
N00000592,188,14,26,60,55,19,11,3
N00000593,171,13,14,53,70,5,9,7
N00000594,130,11,9,54,43,5,6,2
N00000595,185,13,19,79,58,6,6,4
N00000596,120,15,13,62,13,2,11,4
N00000597,121,15,43,26,19,10,8,0
N00000598,152,14,56,29,17,13,22,1
N00000599,114,18,33,25,6,14,15,3
N00000600,122,18,14,44,21,8,14,3
N00000601,133,16,21,53,19,10,13,1
N00000602,111,22,13,57,6,2,10,1
N00000603,151,16,21,59,36,8,10,1
N00000604,132,18,17,36,35,13,12,1
N00000605,196,22,34,52,57,14,15,2
N00000606,124,2,16,33,41,21,9,2
N00000607,129,16,31,26,23,22,8,3
N00000608,138,17,12,70,30,3,4,2
N00000609,136,11,14,54,37,3,12,5
N00000610,147,8,16,59,45,11,3,5
N00000611,122,13,13,50,24,3,17,2
N00000612,246,25,58,66,23,33,35,6
N00000613,112,13,34,19,13,13,14,6
N00000614,119,14,48,30,7,6,14,0
N00000615,87,12,41,14,4,8,8,0
N00000616,129,22,15,37,21,12,16,6
N00000617,133,15,33,34,17,15,15,4
N00000618,271,35,57,60,41,42,27,9
N00000619,141,15,5,73,32,5,8,3
N00000620,139,10,9,55,34,11,15,5
N00000621,176,27,32,49,27,19,19,3
N00000622,164,21,31,48,19,19,22,4
N00000623,125,23,18,32,27,9,15,1
N00000624,160,11,10,70,52,3,11,3
N00000625,118,9,40,23,24,10,10,2
N00000626,156,19,9,67,42,2,11,6
N00000627,159,12,25,50,49,2,14,7
N00000628,141,19,12,49,34,5,13,9
N00000629,171,30,19,45,41,18,13,5
N00000630,126,23,30,28,23,13,8,1
N00000631,137,6,15,46,45,8,13,4
N00000632,156,10,7,66,46,7,16,4
N00000633,126,15,9,51,32,4,13,2
N00000634,166,15,10,63,63,2,9,4
N00000635,153,15,21,58,37,2,15,5
N00000636,143,20,11,47,39,6,16,4
N00000637,305,35,35,99,82,22,26,6
N00000638,136,6,14,38,43,15,16,4
